cluster_id,collar_id,species,timestamp,lon,lat,geometry
1,353336355b308106,Loxodonta africana,NA,26.60679,-33.61237,NA
1,353336355b308106,Loxodonta africana,NA,26.55872,-33.6295,NA
1,353336355b308106,Loxodonta africana,NA,26.50765,-33.63771,NA
1,353336355b308106,Loxodonta africana,NA,26.51921,-33.63728,NA
1,353336355b308106,Loxodonta africana,NA,26.56797,-33.62614,NA
1,353336355b308106,Loxodonta africana,NA,26.59188,-33.58928,NA
1,353336355b308106,Loxodonta africana,NA,26.57371,-33.62876,NA
1,353336355b308106,Loxodonta africana,NA,26.53358,-33.5751,NA
1,353336355b308106,Loxodonta africana,NA,26.56619,-33.62099,NA
1,353336355b308106,Loxodonta africana,NA,26.56104,-33.61933,NA
1,353336355b308106,Loxodonta africana,NA,26.55486,-33.62992,NA
1,353336355b308106,Loxodonta africana,NA,26.56438,-33.63516,NA
1,353336355b308106,Loxodonta africana,NA,26.5346,-33.63937,NA
1,353336355b308106,Loxodonta africana,NA,26.57935,-33.62683,NA
1,353336355b308106,Loxodonta africana,NA,26.52819,-33.61169,NA
1,353336355b308106,Loxodonta africana,NA,26.60267,-33.59899,NA
1,353336355b308106,Loxodonta africana,NA,26.59818,-33.60079,NA
1,353336355b308106,Loxodonta africana,NA,26.57888,-33.62817,NA
1,353336355b308106,Loxodonta africana,NA,26.57118,-33.61146,NA
1,353336355b308106,Loxodonta africana,NA,26.58686,-33.61275,NA
1,353336355b308106,Loxodonta africana,NA,26.49513,-33.62846,NA
1,353336355b308106,Loxodonta africana,NA,26.57034,-33.57225,NA
1,353336355b308106,Loxodonta africana,NA,26.60454,-33.61569,NA
1,353336355b308106,Loxodonta africana,NA,26.59748,-33.5817,NA
1,353336355b308106,Loxodonta africana,NA,26.57063,-33.6148,NA
1,353336355b308106,Loxodonta africana,NA,26.55419,-33.61618,NA
1,353336355b308106,Loxodonta africana,NA,26.5715,-33.60923,NA
1,353336355b308106,Loxodonta africana,NA,26.57115,-33.61604,NA
1,353336355b308106,Loxodonta africana,NA,26.59855,-33.58256,NA
1,353336355b308106,Loxodonta africana,NA,26.5234,-33.63792,NA
1,353336355b308106,Loxodonta africana,NA,26.50809,-33.57355,NA
1,353336355b308106,Loxodonta africana,NA,26.56342,-33.59438,NA
1,353336355b308106,Loxodonta africana,NA,26.55272,-33.63847,NA
1,353336355b308106,Loxodonta africana,NA,26.59514,-33.61016,NA
1,353336355b308106,Loxodonta africana,NA,26.5634,-33.6315,NA
1,353336355b308106,Loxodonta africana,NA,26.6039,-33.61438,NA
1,353336355b308106,Loxodonta africana,NA,26.55924,-33.62332,NA
1,353336355b308106,Loxodonta africana,NA,26.57303,-33.59793,NA
1,353336355b308106,Loxodonta africana,NA,26.55734,-33.62808,NA
1,353336355b308106,Loxodonta africana,NA,26.57041,-33.63134,NA
1,353336355b308106,Loxodonta africana,NA,26.50681,-33.58086,NA
1,353336355b308106,Loxodonta africana,NA,26.51,-33.60365,NA
1,353336355b308106,Loxodonta africana,NA,26.58223,-33.61076,NA
1,353336355b308106,Loxodonta africana,NA,26.57423,-33.58942,NA
1,353336355b308106,Loxodonta africana,NA,26.52633,-33.63223,NA
1,353336355b308106,Loxodonta africana,NA,26.5758,-33.62503,NA
1,353336355b308106,Loxodonta africana,NA,26.54386,-33.63504,NA
1,353336355b308106,Loxodonta africana,NA,26.57533,-33.62505,NA
1,353336355b308106,Loxodonta africana,NA,26.50202,-33.63897,NA
1,353336355b308106,Loxodonta africana,NA,26.59689,-33.61761,NA
1,353336355b308106,Loxodonta africana,NA,26.55962,-33.63271,NA
1,353336355b308106,Loxodonta africana,NA,26.58788,-33.59623,NA
1,353336355b308106,Loxodonta africana,NA,26.5773,-33.61687,NA
1,353336355b308106,Loxodonta africana,NA,26.55919,-33.61926,NA
1,353336355b308106,Loxodonta africana,NA,26.55559,-33.62224,NA
1,353336355b308106,Loxodonta africana,NA,26.5804,-33.62729,NA
1,353336355b308106,Loxodonta africana,NA,26.56512,-33.61823,NA
1,353336355b308106,Loxodonta africana,NA,26.56937,-33.62711,NA
1,353336355b308106,Loxodonta africana,NA,26.55041,-33.62738,NA
1,353336355b308106,Loxodonta africana,NA,26.52899,-33.63679,NA
1,353336355b308106,Loxodonta africana,NA,26.55901,-33.63281,NA
1,353336355b308106,Loxodonta africana,NA,26.58056,-33.60419,NA
1,353336355b308106,Loxodonta africana,NA,26.58371,-33.60454,NA
1,353336355b308106,Loxodonta africana,NA,26.6034,-33.60301,NA
1,353336355b308106,Loxodonta africana,NA,26.57832,-33.60972,NA
1,353336355b308106,Loxodonta africana,NA,26.51414,-33.63651,NA
1,353336355b308106,Loxodonta africana,NA,26.59358,-33.60057,NA
1,353336355b308106,Loxodonta africana,NA,26.51759,-33.63504,NA
1,353336355b308106,Loxodonta africana,NA,26.54545,-33.61526,NA
1,353336355b308106,Loxodonta africana,NA,26.58897,-33.60384,NA
1,353336355b308106,Loxodonta africana,NA,26.55573,-33.62338,NA
1,353336355b308106,Loxodonta africana,NA,26.55582,-33.62998,NA
1,353336355b308106,Loxodonta africana,NA,26.55815,-33.61971,NA
1,353336355b308106,Loxodonta africana,NA,26.5657,-33.5731,NA
1,353336355b308106,Loxodonta africana,NA,26.53253,-33.57664,NA
1,353336355b308106,Loxodonta africana,NA,26.49352,-33.6345,NA
1,353336355b308106,Loxodonta africana,NA,26.55372,-33.63424,NA
1,353336355b308106,Loxodonta africana,NA,26.5649,-33.63697,NA
1,353336355b308106,Loxodonta africana,NA,26.53614,-33.63968,NA
1,353336355b308106,Loxodonta africana,NA,26.58544,-33.59808,NA
1,353336355b308106,Loxodonta africana,NA,26.59579,-33.59697,NA
1,353336355b308106,Loxodonta africana,NA,26.52907,-33.64374,NA
1,353336355b308106,Loxodonta africana,NA,26.5387,-33.61048,NA
1,353336355b308106,Loxodonta africana,NA,26.59155,-33.60382,NA
1,353336355b308106,Loxodonta africana,NA,26.58647,-33.61278,NA
1,353336355b308106,Loxodonta africana,NA,26.56782,-33.63922,NA
1,353336355b308106,Loxodonta africana,NA,26.57947,-33.61744,NA
1,353336355b308106,Loxodonta africana,NA,26.54221,-33.59477,NA
1,353336355b308106,Loxodonta africana,NA,26.57843,-33.61419,NA
1,353336355b308106,Loxodonta africana,NA,26.51364,-33.59308,NA
1,353336355b308106,Loxodonta africana,NA,26.58092,-33.62584,NA
1,353336355b308106,Loxodonta africana,NA,26.52802,-33.59486,NA
1,353336355b308106,Loxodonta africana,NA,26.56686,-33.58662,NA
1,353336355b308106,Loxodonta africana,NA,26.59581,-33.61639,NA
1,353336355b308106,Loxodonta africana,NA,26.52271,-33.63671,NA
1,353336355b308106,Loxodonta africana,NA,26.53769,-33.63786,NA
1,353336355b308106,Loxodonta africana,NA,26.5297,-33.58396,NA
1,353336355b308106,Loxodonta africana,NA,26.53779,-33.63779,NA
1,353336355b308106,Loxodonta africana,NA,26.54749,-33.6324,NA
1,353336355b308106,Loxodonta africana,NA,26.53804,-33.63245,NA
1,353336355b308106,Loxodonta africana,NA,26.60201,-33.61439,NA
1,353336355b308106,Loxodonta africana,NA,26.60869,-33.61633,NA
1,353336355b308106,Loxodonta africana,NA,26.51072,-33.63732,NA
1,353336355b308106,Loxodonta africana,NA,26.525,-33.6403,NA
1,353336355b308106,Loxodonta africana,NA,26.55897,-33.63039,NA
1,353336355b308106,Loxodonta africana,NA,26.53866,-33.61043,NA
1,353336355b308106,Loxodonta africana,NA,26.56397,-33.62965,NA
1,353336355b308106,Loxodonta africana,NA,26.50617,-33.56389,NA
1,353336355b308106,Loxodonta africana,NA,26.51542,-33.62826,NA
1,353336355b308106,Loxodonta africana,NA,26.56568,-33.63523,NA
1,353336355b308106,Loxodonta africana,NA,26.57845,-33.57608,NA
1,353336355b308106,Loxodonta africana,NA,26.50868,-33.59751,NA
1,353336355b308106,Loxodonta africana,NA,26.59006,-33.58886,NA
1,353336355b308106,Loxodonta africana,NA,26.60269,-33.61649,NA
1,353336355b308106,Loxodonta africana,NA,26.58195,-33.5976,NA
1,353336355b308106,Loxodonta africana,NA,26.57368,-33.62257,NA
1,353336355b308106,Loxodonta africana,NA,26.60392,-33.61666,NA
1,353336355b308106,Loxodonta africana,NA,26.58034,-33.57353,NA
1,353336355b308106,Loxodonta africana,NA,26.55025,-33.64487,NA
1,353336355b308106,Loxodonta africana,NA,26.51999,-33.63438,NA
1,353336355b308106,Loxodonta africana,NA,26.56406,-33.62213,NA
1,353336355b308106,Loxodonta africana,NA,26.54596,-33.61992,NA
1,353336355b308106,Loxodonta africana,NA,26.51215,-33.60442,NA
1,353336355b308106,Loxodonta africana,NA,26.53914,-33.64089,NA
1,353336355b308106,Loxodonta africana,NA,26.57181,-33.61133,NA
1,353336355b308106,Loxodonta africana,NA,26.58574,-33.60875,NA
1,353336355b308106,Loxodonta africana,NA,26.52196,-33.63318,NA
1,353336355b308106,Loxodonta africana,NA,26.60316,-33.60572,NA
1,353336355b308106,Loxodonta africana,NA,26.57187,-33.61096,NA
1,353336355b308106,Loxodonta africana,NA,26.55355,-33.63085,NA
1,353336355b308106,Loxodonta africana,NA,26.56361,-33.62593,NA
1,353336355b308106,Loxodonta africana,NA,26.57868,-33.62331,NA
1,353336355b308106,Loxodonta africana,NA,26.56914,-33.61774,NA
1,353336355b308106,Loxodonta africana,NA,26.58294,-33.6258,NA
1,353336355b308106,Loxodonta africana,NA,26.59359,-33.57708,NA
1,353336355b308106,Loxodonta africana,NA,26.55315,-33.63119,NA
1,353336355b308106,Loxodonta africana,NA,26.56897,-33.61693,NA
1,353336355b308106,Loxodonta africana,NA,26.57218,-33.60006,NA
1,353336355b308106,Loxodonta africana,NA,26.5872,-33.60347,NA
1,353336355b308106,Loxodonta africana,NA,26.58803,-33.61751,NA
1,353336355b308106,Loxodonta africana,NA,26.57251,-33.62598,NA
1,353336355b308106,Loxodonta africana,NA,26.51636,-33.56381,NA
1,353336355b308106,Loxodonta africana,NA,26.54748,-33.6364,NA
