species,lon,lat
E3A,26.60063,-33.58451
E3A,26.52413,-33.58041
E3A,26.60599,-33.60196
E3A,26.53081,-33.58783
E3A,26.51195,-33.56798
E3A,26.49647,-33.57672
E3A,26.53744,-33.63292
E3A,26.58,-33.62578
E3A,26.54716,-33.613
E3A,26.51041,-33.56366
E3A,26.54714,-33.61179
E3A,26.49694,-33.5891
E3A,26.51135,-33.57467
E3A,26.5171,-33.5986
E3A,26.52892,-33.59578
E3A,26.52095,-33.57891
E3A,26.52243,-33.63953
E3A,26.51769,-33.61404
E3A,26.51546,-33.57697
E3A,26.53285,-33.58152
E3A,26.52844,-33.58064
E3A,26.5277,-33.58091
E3A,26.52405,-33.57946
E3A,26.504,-33.56772
E3A,26.52236,-33.57508
E3A,26.50556,-33.63467
E3A,26.53869,-33.6326
E3A,26.53696,-33.61662
E3A,26.52285,-33.59015
E3A,26.52916,-33.59967
E3A,26.5554,-33.61875
E3A,26.60894,-33.61681
E3A,26.52936,-33.5859
E3A,26.51492,-33.57729
E3A,26.55373,-33.60592
E3A,26.50196,-33.57963
E3A,26.5415,-33.61513
E3A,26.51904,-33.6291
E3A,26.50298,-33.63118
E3A,26.49462,-33.57767
E3A,26.53717,-33.63274
E3A,26.52285,-33.61396
E3A,26.51287,-33.5692
E3A,26.53505,-33.59312
E3A,26.50178,-33.58811
E3A,26.57329,-33.60482
E3A,26.52258,-33.60536
E3A,26.51724,-33.57023
E3A,26.4955,-33.5786
E3A,26.51207,-33.56737
E3A,26.50878,-33.62152
E3A,26.52554,-33.59203
E3A,26.52408,-33.59384
E3A,26.51289,-33.58897
E3A,26.50557,-33.62586
E3A,26.53303,-33.64267
E3A,26.53273,-33.57897
E3A,26.52231,-33.58112
E3A,26.51709,-33.58956
E3A,26.57285,-33.6052
E3A,26.54784,-33.61168
E3A,26.5537,-33.61519
E3A,26.59411,-33.6128
E3A,26.5172,-33.59826
E3A,26.56362,-33.63221
E3A,26.51833,-33.59362
E3A,26.6016,-33.59578
