species,lon,lat
E3B,26.57817,-33.58679
E3B,26.59377,-33.6041
E3B,26.55055,-33.61661
E3B,26.57908,-33.61928
E3B,26.57874,-33.61717
E3B,26.59412,-33.57237
E3B,26.5509,-33.61647
E3B,26.56612,-33.6129
E3B,26.58329,-33.60887
E3B,26.55069,-33.61756
E3B,26.55994,-33.62283
E3B,26.54554,-33.61489
E3B,26.55846,-33.62397
E3B,26.59848,-33.58948
E3B,26.57951,-33.60451
E3B,26.5857,-33.61068
E3B,26.59928,-33.59785
E3B,26.58392,-33.56873
E3B,26.56637,-33.62161
E3B,26.595,-33.60826
E3B,26.56011,-33.63277
E3B,26.58321,-33.60729
E3B,26.57358,-33.61868
E3B,26.57756,-33.62122
E3B,26.59157,-33.60194
E3B,26.56293,-33.61175
E3B,26.56289,-33.63099
E3B,26.59231,-33.60698
E3B,26.5649,-33.63551
E3B,26.58444,-33.61117
E3B,26.55334,-33.6167
E3B,26.55474,-33.63073
E3B,26.57265,-33.62484
E3B,26.60733,-33.60125
E3B,26.56651,-33.63194
E3B,26.60099,-33.60191
E3B,26.5912,-33.61229
E3B,26.58029,-33.61745
E3B,26.54509,-33.61456
E3B,26.54722,-33.61911
E3B,26.58687,-33.59954
E3B,26.55979,-33.62626
E3B,26.56394,-33.63394
E3B,26.57183,-33.63023
E3B,26.57687,-33.61261
E3B,26.58527,-33.60118
E3B,26.5527,-33.63135
E3B,26.57038,-33.62125
E3B,26.55569,-33.61314
E3B,26.551,-33.61764
E3B,26.567,-33.61778
E3B,26.5687,-33.63672
E3B,26.55803,-33.62116
E3B,26.60098,-33.6021
E3B,26.57296,-33.62537
E3B,26.56589,-33.63456
E3B,26.55429,-33.61894
E3B,26.57232,-33.62861
E3B,26.54524,-33.62172
E3B,26.57185,-33.5967
E3B,26.55473,-33.6335
E3B,26.59467,-33.60721
E3B,26.57367,-33.62046
E3B,26.5982,-33.62031
E3B,26.59899,-33.59074
E3B,26.55928,-33.62925
E3B,26.5841,-33.60177
E3B,26.56421,-33.62479
E3B,26.5567,-33.61298
E3B,26.56157,-33.62109
E3B,26.56945,-33.62154
E3B,26.54615,-33.61533
E3B,26.56337,-33.63425
E3B,26.58531,-33.61396
E3B,26.56762,-33.63391
E3B,26.59572,-33.59723
E3B,26.59588,-33.57725
E3B,26.58208,-33.58127
E3B,26.57638,-33.61307
E3B,26.55318,-33.63168
E3B,26.58499,-33.60537
E3B,26.59688,-33.57225
E3B,26.59588,-33.6069
E3B,26.57413,-33.5837
E3B,26.57761,-33.61558
E3B,26.56593,-33.62602
E3B,26.60502,-33.61657
E3B,26.54378,-33.61897
E3B,26.56492,-33.62615
E3B,26.57398,-33.62729
E3B,26.5945,-33.60424
E3B,26.5726,-33.62505
E3B,26.55584,-33.63235
E3B,26.56059,-33.63118
E3B,26.56666,-33.61559
E3B,26.5797,-33.61065
E3B,26.55841,-33.62388
E3B,26.56983,-33.63179
E3B,26.55267,-33.63379
E3B,26.60743,-33.60979
E3B,26.56957,-33.62463
E3B,26.56482,-33.63717
E3B,26.59167,-33.58576
E3B,26.57246,-33.56906
E3B,26.55946,-33.61746
E3B,26.56968,-33.61922
E3B,26.5743,-33.61969
E3B,26.56497,-33.61586
E3B,26.59777,-33.61793
E3B,26.56739,-33.61336
E3B,26.579,-33.5688
E3B,26.5679,-33.61147
E3B,26.57675,-33.61352
E3B,26.57836,-33.61883
E3B,26.60196,-33.5969
E3B,26.56709,-33.61656
E3B,26.59353,-33.57499
E3B,26.60196,-33.60513
E3B,26.56492,-33.58468
E3B,26.5523,-33.61817
E3B,26.54556,-33.61537
E3B,26.603,-33.60407
E3B,26.57505,-33.59262
E3B,26.55935,-33.6192
E3B,26.5525,-33.63525
E3B,26.58499,-33.60096
E3B,26.56746,-33.62205
E3B,26.55479,-33.63235
E3B,26.60201,-33.61684
E3B,26.55271,-33.63303
E3B,26.59519,-33.59674
E3B,26.55477,-33.61894
E3B,26.55136,-33.61634
E3B,26.57333,-33.62205
E3B,26.56843,-33.62105
E3B,26.55257,-33.6325
E3B,26.58106,-33.60488
E3B,26.60258,-33.6132
E3B,26.55221,-33.61676
E3B,26.59568,-33.58929
E3B,26.57554,-33.59196
E3B,26.58869,-33.60932
E3B,26.59991,-33.61279
E3B,26.56601,-33.63435
E3B,26.5692,-33.63196
E3B,26.60968,-33.61416
E3B,26.56579,-33.62573
E3B,26.59046,-33.60457
E3B,26.58927,-33.58907
E3B,26.56445,-33.62503
E3B,26.57214,-33.62247
E3B,26.56038,-33.61382
E3B,26.54273,-33.62363
E3B,26.57583,-33.6201
E3B,26.564330000000002,-33.6351
E3B,26.56376,-33.61627
E3B,26.56698,-33.62998
E3B,26.56183,-33.61888
E3B,26.54309,-33.62287
E3B,26.56808,-33.61511
E3B,26.59604,-33.60742
E3B,26.55627,-33.62916
E3B,26.57183,-33.56988
E3B,26.60643,-33.60993
E3B,26.56803,-33.61516
E3B,26.60799,-33.6044
E3B,26.57564,-33.62655
E3B,26.58929,-33.58907
E3B,26.54722,-33.62042
E3B,26.5699,-33.57206
E3B,26.60645,-33.60754
E3B,26.56865,-33.61512
E3B,26.6023,-33.59964
E3B,26.59053,-33.59239
E3B,26.56888,-33.57078
E3B,26.55648,-33.63209
E3B,26.57251,-33.60874
E3B,26.57615,-33.62263
E3B,26.54404,-33.61875
E3B,26.60251,-33.61296
E3B,26.58564,-33.59998
E3B,26.56686,-33.63906
E3B,26.57006,-33.63105
E3B,26.58403,-33.61098
E3B,26.59542,-33.60647
E3B,26.56554,-33.61465
E3B,26.56375,-33.63405
E3B,26.56399,-33.61758
E3B,26.60363,-33.6138
E3B,26.55937,-33.62692
E3B,26.56168,-33.62702
E3B,26.57063,-33.61357
E3B,26.57374,-33.62402
E3B,26.59145,-33.61318
E3B,26.56313,-33.63351
E3B,26.59451,-33.60823
E3B,26.58733,-33.61526
E3B,26.57342,-33.62193
E3B,26.55809,-33.63101
E3B,26.60945,-33.61433
E3B,26.5941,-33.60688
E3B,26.56535,-33.6185
E3B,26.5806,-33.6252
E3B,26.5931,-33.59179
E3B,26.55885,-33.61939
E3B,26.57075,-33.61566
E3B,26.57751,-33.60942
E3B,26.60525,-33.60691
E3B,26.55933,-33.63019
E3B,26.56951,-33.61054
E3B,26.55688,-33.63146
E3B,26.58065,-33.61306
E3B,26.58391,-33.60402
E3B,26.60146,-33.60639
E3B,26.60924,-33.61408
E3B,26.56977,-33.63187
E3B,26.59264,-33.60387
E3B,26.57972,-33.61543
E3B,26.58086,-33.61892
E3B,26.56862,-33.62404
E3B,26.58588,-33.59043
E3B,26.5677,-33.61618
E3B,26.5631,-33.62684
E3B,26.58118,-33.61344
E3B,26.58426,-33.61122
E3B,26.56394,-33.61468
E3B,26.57745,-33.61239
E3B,26.54266,-33.61714
E3B,26.55824,-33.62851
E3B,26.55765,-33.61389
E3B,26.60097,-33.58548
E3B,26.57443,-33.56964
E3B,26.56051,-33.63293
E3B,26.57228,-33.56905
E3B,26.55777,-33.62968
E3B,26.57411,-33.61243
E3B,26.56363,-33.62648
E3B,26.55887,-33.63052
E3B,26.56177,-33.62951
E3B,26.57923,-33.57854
E3B,26.5698,-33.57959
E3B,26.56665,-33.61154
E3B,26.57376,-33.6209
E3B,26.59489,-33.5966
E3B,26.54531,-33.61758
E3B,26.59719,-33.61677
E3B,26.56157,-33.62156
E3B,26.60086,-33.6209
E3B,26.56353,-33.62979
E3B,26.56336,-33.62563
E3B,26.55506,-33.61899
E3B,26.5737,-33.56732
E3B,26.55953,-33.63047
E3B,26.55434,-33.63109
E3B,26.57063,-33.62389
E3B,26.56524,-33.63111
E3B,26.56806,-33.5805
E3B,26.55976,-33.62634
E3B,26.55822,-33.62769
E3B,26.56296,-33.62218
E3B,26.60746,-33.60309
E3B,26.58459,-33.61257
E3B,26.60109,-33.61852
E3B,26.58717,-33.59479
E3B,26.57475,-33.61618
E3B,26.5729,-33.61914
E3B,26.57601,-33.62452
E3B,26.55943,-33.61973
E3B,26.59782,-33.59067
E3B,26.55883,-33.62362
E3B,26.56417,-33.63139
E3B,26.56194,-33.62768
E3B,26.57819,-33.57362
E3B,26.57806,-33.60277
E3B,26.56382,-33.63673
E3B,26.56546,-33.62629
E3B,26.57588,-33.62496
E3B,26.59549,-33.60804
E3B,26.57409,-33.61159
E3B,26.55844,-33.61646
E3B,26.55495,-33.61565
E3B,26.55536,-33.62973
E3B,26.57886,-33.616
E3B,26.55919,-33.6159
E3B,26.56405,-33.62505
E3B,26.57034,-33.57225
E3B,26.57693,-33.57088
E3B,26.5791,-33.60146
E3B,26.57696,-33.61412
E3B,26.55717,-33.63239
E3B,26.57941,-33.60425
E3B,26.57975,-33.61564
E3B,26.59828,-33.61127
E3B,26.58426,-33.61329
E3B,26.58213,-33.60906
E3B,26.57409,-33.58858
E3B,26.57294,-33.61918
E3B,26.55297,-33.63621
E3B,26.5704,-33.61533
E3B,26.56358,-33.62987
E3B,26.56427,-33.62472
E3B,26.56377,-33.61996
E3B,26.56242,-33.62586
E3B,26.5434,-33.62367
E3B,26.56317,-33.62801
E3B,26.60346,-33.61837
E3B,26.60173,-33.59111
E3B,26.58755,-33.61565
E3B,26.56133,-33.61279
E3B,26.57914,-33.6283
E3B,26.56885,-33.61609
E3B,26.59973,-33.62067
E3B,26.55952,-33.63056
E3B,26.57524,-33.61796
E3B,26.59566,-33.60648
E3B,26.56379,-33.63115
E3B,26.56346,-33.62995
E3B,26.58192,-33.57535
E3B,26.5817,-33.62616
E3B,26.56851,-33.62436
E3B,26.55423,-33.63551
E3B,26.55087,-33.61701
E3B,26.58395,-33.60902
E3B,26.56088,-33.63221
E3B,26.57163,-33.59515
E3B,26.56115,-33.63057
E3B,26.56965,-33.62171
E3B,26.57783,-33.59714
E3B,26.59742,-33.58036
