species,lon,lat
E4A,26.59982,-33.59314
E4A,26.59194,-33.60693
E4A,26.57792,-33.5882
E4A,26.57904,-33.58838
E4A,26.56567,-33.63448
E4A,26.60071,-33.59392
E4A,26.59211,-33.5741
E4A,26.51236,-33.57737
E4A,26.52912,-33.58527
E4A,26.57595,-33.60488
E4A,26.50962,-33.61658
E4A,26.51543,-33.60533
E4A,26.52495,-33.57382
E4A,26.50704,-33.58212
E4A,26.50768,-33.57176
E4A,26.51925,-33.62862
E4A,26.52832,-33.58917
E4A,26.54762,-33.57948
E4A,26.51183,-33.58855
E4A,26.52708,-33.6065
E4A,26.49682,-33.62893
E4A,26.50432,-33.62067
E4A,26.51632,-33.57614
E4A,26.51275,-33.60261
E4A,26.57464,-33.61814
E4A,26.514,-33.631100000000004
E4A,26.51149,-33.58884
E4A,26.53617,-33.56582
E4A,26.5293,-33.60599
E4A,26.51785,-33.59793
E4A,26.52053,-33.61479
E4A,26.52076,-33.63555
E4A,26.50725,-33.57536
E4A,26.53162,-33.59265
E4A,26.50969,-33.57664
E4A,26.49949,-33.59901
E4A,26.53703,-33.63318
E4A,26.53399,-33.61221
E4A,26.51163,-33.58352
E4A,26.52073,-33.61398
E4A,26.51547,-33.59506
E4A,26.52277,-33.61281
E4A,26.51197,-33.597
E4A,26.5232,-33.58417
E4A,26.52759,-33.60648
E4A,26.51978,-33.58735
E4A,26.52119,-33.59557
E4A,26.56755,-33.59796
E4A,26.54486,-33.62704
E4A,26.51006,-33.6018
E4A,26.51003,-33.63269
E4A,26.51112,-33.59737
E4A,26.52422,-33.63463
E4A,26.54006,-33.61633
E4A,26.5311,-33.60808
E4A,26.50809,-33.58945
E4A,26.53377,-33.61157
E4A,26.51836,-33.60493
E4A,26.50648,-33.59866
E4A,26.52856,-33.58976
E4A,26.53546,-33.62482
E4A,26.51514,-33.57698
E4A,26.521,-33.61382
E4A,26.49649,-33.61911
E4A,26.51415,-33.63314
E4A,26.5023,-33.61739
E4A,26.53132,-33.60154
E4A,26.52819,-33.64384
E4A,26.51311,-33.60648
E4A,26.55471,-33.5912
E4A,26.50683,-33.58801
E4A,26.52278,-33.63945
E4A,26.52938,-33.61019
E4A,26.52123,-33.57716
E4A,26.52086,-33.61715
E4A,26.52607,-33.6165
E4A,26.52327,-33.64083
E4A,26.50701,-33.60495
E4A,26.53931,-33.60143
E4A,26.5067,-33.61414
E4A,26.50296,-33.61258
E4A,26.52036,-33.58593
E4A,26.50159,-33.63204
E4A,26.51036,-33.59273
E4A,26.5223,-33.62397
E4A,26.50414,-33.5704
E4A,26.51989,-33.57667
E4A,26.50948,-33.60407
E4A,26.50669,-33.64101
E4A,26.50839,-33.57375
E4A,26.50588,-33.59125
E4A,26.53644,-33.5656
E4A,26.50843,-33.63981
E4A,26.50725,-33.60571
E4A,26.50943,-33.58985
E4A,26.53687,-33.63201
E4A,26.51176,-33.59093
E4A,26.53101,-33.58784
E4A,26.60759,-33.61555
E4A,26.5203,-33.57904
E4A,26.51689,-33.59781
E4A,26.53194,-33.59214
E4A,26.49733,-33.59035
E4A,26.51594,-33.61767
E4A,26.519,-33.60862
E4A,26.49464,-33.62973
E4A,26.50231,-33.57079
E4A,26.51454,-33.61242
E4A,26.53052,-33.58774
E4A,26.50211,-33.57146
E4A,26.53866,-33.58388
E4A,26.57204,-33.60075
E4A,26.50985,-33.60047
E4A,26.51383,-33.62237
E4A,26.52133,-33.59564
E4A,26.52009,-33.61873
E4A,26.49467,-33.61105
E4A,26.53023,-33.60913
E4A,26.5148,-33.59791
E4A,26.51856,-33.59788
E4A,26.50972,-33.62678
E4A,26.51755,-33.601
E4A,26.51452,-33.61414
E4A,26.50383,-33.57127
E4A,26.49607,-33.58174
E4A,26.50534,-33.58736
E4A,26.52502,-33.60554
E4A,26.51672,-33.59053
E4A,26.49539,-33.57824
E4A,26.52222,-33.58255
E4A,26.52413,-33.63519
E4A,26.51862,-33.62339
E4A,26.58467,-33.59917
E4A,26.52907,-33.58843
E4A,26.57828,-33.60592
E4A,26.53123,-33.60872
E4A,26.53553,-33.60163
E4A,26.50492,-33.61116
E4A,26.5341,-33.64152
E4A,26.53338,-33.58632
E4A,26.4958,-33.62701
E4A,26.56549,-33.59724
E4A,26.51796,-33.61496
E4A,26.51429,-33.58145
E4A,26.53449,-33.56872
E4A,26.51022,-33.62352
E4A,26.50897,-33.60001
E4A,26.5138,-33.60021
E4A,26.52615,-33.63036
E4A,26.53452,-33.5687
E4A,26.5271,-33.60645
E4A,26.51925,-33.62845
E4A,26.52342,-33.59462
E4A,26.50649,-33.60178
E4A,26.52394,-33.57802
E4A,26.53607,-33.61204
E4A,26.50489,-33.62178
E4A,26.50576,-33.5784
E4A,26.52098,-33.57828
E4A,26.53222,-33.60235
E4A,26.49315,-33.6254
E4A,26.5272,-33.61222
E4A,26.53417,-33.6035
E4A,26.52492,-33.5783
E4A,26.50825,-33.56482
E4A,26.60716,-33.60509
E4A,26.54114,-33.63751
E4A,26.51037,-33.63226
E4A,26.5472,-33.58157
E4A,26.49219,-33.62702
E4A,26.51835,-33.59824
E4A,26.50957,-33.57563
E4A,26.54669,-33.60784
E4A,26.52458,-33.62916
E4A,26.51966,-33.63182
E4A,26.52437,-33.57444
E4A,26.52058,-33.5883
E4A,26.51209,-33.57275
E4A,26.57939,-33.61275
E4A,26.51866,-33.59587
E4A,26.50227,-33.57266
E4A,26.5147,-33.60108
E4A,26.52125,-33.57752
E4A,26.59702,-33.61782
E4A,26.50082,-33.58906
E4A,26.50008,-33.58131
E4A,26.51751,-33.61114
E4A,26.52022,-33.62299
E4A,26.51983,-33.57199
E4A,26.51648,-33.638420000000004
E4A,26.51728,-33.59369
E4A,26.52902,-33.5877
E4A,26.50741,-33.61069
E4A,26.50855,-33.60165
E4A,26.50989,-33.62696
E4A,26.53746,-33.61461
E4A,26.5054,-33.5792
E4A,26.52168,-33.61372
E4A,26.51623,-33.61421
E4A,26.51975,-33.6054
E4A,26.51954,-33.61407
E4A,26.50814,-33.58242
E4A,26.50407,-33.57513
E4A,26.50184,-33.57624
E4A,26.51294,-33.60523
E4A,26.52224,-33.62503
E4A,26.52438,-33.62952
E4A,26.53114,-33.60761
E4A,26.50626,-33.60165
E4A,26.5391,-33.62005
E4A,26.56857,-33.60462
E4A,26.60459,-33.60816
E4A,26.51333,-33.59587
E4A,26.55099,-33.58221
E4A,26.52104,-33.59681
E4A,26.50097,-33.58538
E4A,26.52274,-33.62505
E4A,26.58937,-33.60211
E4A,26.5275,-33.62929
E4A,26.50861,-33.58325
E4A,26.50131,-33.63846
E4A,26.49292,-33.61234
E4A,26.52459,-33.57536
E4A,26.50194,-33.61867
E4A,26.52008,-33.59356
E4A,26.529419999999998,-33.60378
E4A,26.51468,-33.62406
E4A,26.51089,-33.61302
E4A,26.54954,-33.59724
E4A,26.50625,-33.58099
E4A,26.50169,-33.57116
E4A,26.5082,-33.60471
E4A,26.55569,-33.58737
E4A,26.52756,-33.57615
E4A,26.50851,-33.59317
E4A,26.56917,-33.59553
E4A,26.52056,-33.58627
E4A,26.52011,-33.60578
E4A,26.49616,-33.61107
E4A,26.52619,-33.62985
E4A,26.54458,-33.63707
E4A,26.51241,-33.62498
E4A,26.49537,-33.63819
E4A,26.54064,-33.60966
E4A,26.52475,-33.6126
E4A,26.50523,-33.59705
E4A,26.53553,-33.57288
E4A,26.5052,-33.57691
E4A,26.50083,-33.58897
E4A,26.51205,-33.59601
E4A,26.54543,-33.5996
E4A,26.51807,-33.60764
E4A,26.50516,-33.57251
E4A,26.52354,-33.63097
E4A,26.5092,-33.59566
E4A,26.50949,-33.60393
E4A,26.50256,-33.60382
E4A,26.53249,-33.61271
E4A,26.52967,-33.58692
E4A,26.53781,-33.63663
E4A,26.51435,-33.60478
