species,lon,lat
E5B,26.55582,-33.59791
E5B,26.5579,-33.60216
E5B,26.55247,-33.58822
E5B,26.55034,-33.64313
E5B,26.5283,-33.61134
E5B,26.52824,-33.63112
E5B,26.53398,-33.64358
E5B,26.52911,-33.62891
E5B,26.5226,-33.63401
E5B,26.50274,-33.63081
E5B,26.52675,-33.63998
E5B,26.52224,-33.63105
E5B,26.55266,-33.64019
E5B,26.54238,-33.63159
E5B,26.52458,-33.62671
E5B,26.55658,-33.60891
E5B,26.51277,-33.63153
E5B,26.50203,-33.60499
E5B,26.54748,-33.6364
E5B,26.51524,-33.63101
E5B,26.54764,-33.63629
E5B,26.52872,-33.63459
E5B,26.523,-33.63177
E5B,26.49953,-33.63402
E5B,26.49273,-33.63667
E5B,26.5498,-33.63494
E5B,26.53049,-33.62606
E5B,26.53969,-33.64089
E5B,26.4964,-33.62314
E5B,26.52489,-33.61063
E5B,26.54239,-33.62727
E5B,26.51981,-33.6214
E5B,26.55817,-33.64067
E5B,26.5074,-33.62613
E5B,26.50331,-33.62295
E5B,26.50927,-33.63646
E5B,26.55367,-33.62527
E5B,26.53979,-33.63576
E5B,26.52926,-33.63403
E5B,26.54907,-33.63797
E5B,26.49668,-33.63659
E5B,26.54169,-33.64307
E5B,26.54643,-33.63355
E5B,26.52955,-33.6259
E5B,26.51145,-33.62138
E5B,26.53028,-33.63494
E5B,26.5193,-33.63685
E5B,26.53249,-33.63739
E5B,26.53599,-33.64031
E5B,26.53694,-33.63523
E5B,26.53972,-33.63071
E5B,26.51991,-33.63663
E5B,26.54353,-33.63652
E5B,26.53008,-33.64321
E5B,26.52663,-33.63466
E5B,26.52344,-33.59609
E5B,26.53658,-33.63187
E5B,26.50876,-33.64031
E5B,26.54613,-33.63596
E5B,26.54866,-33.63447
E5B,26.51897,-33.63417
E5B,26.53249,-33.64379
E5B,26.50558,-33.58699
E5B,26.50578,-33.63453
E5B,26.53323,-33.63516
E5B,26.52004,-33.61559
E5B,26.57197,-33.60226
E5B,26.50837,-33.62423
E5B,26.53648,-33.61819
E5B,26.53771,-33.63686
E5B,26.53734,-33.63248
E5B,26.52827,-33.64106
E5B,26.51932,-33.63455
E5B,26.52725,-33.64305
E5B,26.50495,-33.60821
E5B,26.52978,-33.64584
E5B,26.53462,-33.57715
E5B,26.51872,-33.62096
E5B,26.53968,-33.63047
E5B,26.5421,-33.6369
E5B,26.52339,-33.62616
