species,lon,lat
E5A,26.52601,-33.57551
E5A,26.53147,-33.61128
E5A,26.50075,-33.59845
E5A,26.53162,-33.57937
E5A,26.53324,-33.64373
E5A,26.53888,-33.56593
E5A,26.53346,-33.56236
E5A,26.51722,-33.6038
E5A,26.52764,-33.64698
E5A,26.50479,-33.57471
E5A,26.52804,-33.62751
E5A,26.52039,-33.61465
E5A,26.55826,-33.63839
E5A,26.50772,-33.6416
E5A,26.53034,-33.62884
E5A,26.52442,-33.63291
E5A,26.52356,-33.63644
E5A,26.52678,-33.63495
E5A,26.531860000000002,-33.62463
E5A,26.52643,-33.64041
E5A,26.52725,-33.62934
E5A,26.53203,-33.62589
E5A,26.5208,-33.6167
E5A,26.52223,-33.63403
E5A,26.52346,-33.63665
E5A,26.51641,-33.63374
E5A,26.54238,-33.6309
E5A,26.51476,-33.63427
E5A,26.51828,-33.6326
E5A,26.51089,-33.63513
E5A,26.53173,-33.62192
E5A,26.52278,-33.63809
E5A,26.54399,-33.63748
E5A,26.5282,-33.6333
E5A,26.52622,-33.64424
E5A,26.56181,-33.64078
E5A,26.50468,-33.63774
E5A,26.51952,-33.64182
E5A,26.52182,-33.6101
E5A,26.53038,-33.62539
E5A,26.51607,-33.64183
E5A,26.52591,-33.63668
E5A,26.5469,-33.63648
E5A,26.54105,-33.63293
E5A,26.5351,-33.62178
E5A,26.5221,-33.6382
E5A,26.5286,-33.632
E5A,26.52317,-33.62848
E5A,26.51453,-33.63223
E5A,26.52565,-33.63871
E5A,26.53772,-33.63794
E5A,26.51607,-33.63412
E5A,26.50697,-33.63976
E5A,26.52292,-33.62903
E5A,26.52705,-33.63518
E5A,26.51402,-33.63353
E5A,26.53569,-33.63661
E5A,26.52651,-33.63607
E5A,26.51933,-33.6105
E5A,26.52274,-33.623779999999996
E5A,26.53103,-33.63816
E5A,26.5288,-33.62629
E5A,26.5147,-33.632
E5A,26.53351,-33.62961
E5A,26.52675,-33.63497
E5A,26.54754,-33.63634
E5A,26.5206,-33.62897
E5A,26.52981,-33.62621
E5A,26.53891,-33.63146
E5A,26.54882,-33.63713
E5A,26.54979,-33.6345
E5A,26.53554,-33.62177
E5A,26.53436,-33.62817
E5A,26.52373,-33.63794
E5A,26.52983,-33.634
E5A,26.52254,-33.62408
E5A,26.52318,-33.62374
E5A,26.52047,-33.61561
E5A,26.53723,-33.63092
E5A,26.55151,-33.63995
E5A,26.52133,-33.62838
E5A,26.53841,-33.62882
E5A,26.5191,-33.62114
E5A,26.55421,-33.63989
E5A,26.53253,-33.62683
E5A,26.53345,-33.62798
E5A,26.49349,-33.63687
E5A,26.49104,-33.63813
E5A,26.49446,-33.63603
E5A,26.49386,-33.63664
E5A,26.50986,-33.58917
E5A,26.51217,-33.58408
E5A,26.51257,-33.58734
E5A,26.51187,-33.59437
E5A,26.51168,-33.58392
E5A,26.52344,-33.57825
E5A,26.51262,-33.59148
E5A,26.51029,-33.58318
E5A,26.52072,-33.58187
E5A,26.50689,-33.59024
E5A,26.5137,-33.58544
