species,lon,lat
E6B,26.53677,-33.59652
E6B,26.60518,-33.60748
E6B,26.56852,-33.62583
E6B,26.57207,-33.61327
E6B,26.50803,-33.56896
E6B,26.5971,-33.60109
E6B,26.59637,-33.61755
E6B,26.57493,-33.6215
E6B,26.60114,-33.5925
E6B,26.56663,-33.62692
E6B,26.5857,-33.60597
E6B,26.59991,-33.61607
E6B,26.60036,-33.61536
E6B,26.5265,-33.63168
E6B,26.59889,-33.57955
E6B,26.54383,-33.61739
E6B,26.57907,-33.62301
E6B,26.5641,-33.63557
E6B,26.58733,-33.59649
E6B,26.58033,-33.61732
E6B,26.55686,-33.62518
E6B,26.52905,-33.63692
E6B,26.60016,-33.6172
E6B,26.55778,-33.63123
E6B,26.52273,-33.6339
E6B,26.53809,-33.57857
E6B,26.55684,-33.62496
E6B,26.59002,-33.61191
E6B,26.57994,-33.56841
E6B,26.607,-33.60673
E6B,26.56465,-33.61874
E6B,26.58716,-33.60348
E6B,26.5298,-33.62912
E6B,26.52706,-33.6428
E6B,26.55474,-33.63467
E6B,26.56649,-33.64054
E6B,26.56395,-33.63519
E6B,26.55173,-33.61557
E6B,26.5492,-33.63553
E6B,26.5563,-33.64008
E6B,26.50017,-33.60359
E6B,26.53846,-33.57889
E6B,26.56797,-33.62614
E6B,26.55583,-33.62648
E6B,26.5686,-33.63075
E6B,26.57458,-33.58889
E6B,26.57792,-33.57127
E6B,26.58081,-33.61459
E6B,26.5473,-33.6173
E6B,26.54921,-33.61931
E6B,26.55479,-33.63663
E6B,26.55844,-33.6315
E6B,26.60638,-33.61465
E6B,26.52753,-33.62948
E6B,26.5713,-33.61152
E6B,26.58013,-33.60115
E6B,26.55797,-33.62027
E6B,26.53112,-33.62955
E6B,26.5227,-33.63398
E6B,26.58649,-33.59443
E6B,26.50608,-33.57209
E6B,26.5669,-33.5868
E6B,26.60324,-33.61597
E6B,26.60628,-33.61223
E6B,26.51742,-33.59616
E6B,26.57312,-33.58532
E6B,26.55594,-33.62373
E6B,26.51475,-33.62317
E6B,26.54521,-33.62173
E6B,26.55545,-33.62557
E6B,26.57368,-33.62261
E6B,26.57756,-33.6207
E6B,26.59898,-33.60741
E6B,26.52715,-33.635
E6B,26.56859,-33.63075
E6B,26.53143,-33.64281
E6B,26.54861,-33.63474
E6B,26.5104,-33.63471
E6B,26.52293,-33.63976
E6B,26.59233,-33.60693
E6B,26.55695,-33.62539
